carat,depth,table,cut = Fair,cut = Good,cut = Ideal,cut = Premium,cut = Very Good,color = D,color = E,color = F,color = G,color = H,color = I,color = J,clarity = I1,clarity = IF,clarity = SI1,clarity = SI2,clarity = VS1,clarity = VS2,clarity = VVS1,clarity = VVS2
0.8,61.8,57.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.02,59.1,60.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.52,65.3,56.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.04,61.1,56.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.31,62.0,55.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.03,57.9,59.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1.2,60.0,60.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2.0,61.1,58.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.6,62.0,56.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.71,61.3,56.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.54,62.4,59.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.01,61.9,58.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.04,61.6,58.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.53,62.8,57.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.01,60.7,58.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.3,62.5,56.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.04,63.2,57.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.55,61.5,56.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.34,62.1,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.03,62.2,56.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.01,62.7,56.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.26,62.1,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.81,62.0,55.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,62.4,56.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.09,62.8,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.43,57.9,61.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.25,62.6,57.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.79,61.5,56.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.77,63.8,58.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.23,59.6,59.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.39,59.2,58.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.43,62.3,54.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.01,64.6,58.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
