is_male,is_loyal_customer,age,is_business_travel,class,flight distance,inflight wifi service,departure/arrival time convenient,ease of online booking,gate location,food and drink,online boarding,seat comfort,inflight entertainment,on-board service,leg room service,baggage handling,checkin service,inflight service,cleanliness,departure delay in minutes,arrival delay in minutes
0,1,31,1,Business,3113,3,1,1,1,3,3,3,3,1,1,4,4,4,3,0,1.0
1,1,30,1,Business,1896,4,1,1,1,4,4,4,4,2,2,3,4,2,4,81,72.0
1,1,34,1,Eco,201,3,4,4,4,3,3,3,3,2,2,4,3,4,3,3,0.0
0,1,36,1,Business,2920,1,1,1,1,5,3,1,5,5,5,5,3,5,4,0,18.0
1,1,66,1,Business,190,0,4,0,4,3,1,2,3,3,3,3,1,3,1,0,0.0
1,1,46,1,Business,3237,4,4,4,4,3,5,4,4,4,4,4,3,4,5,0,0.0
0,1,15,0,Eco,429,2,3,2,3,4,2,5,4,1,2,3,3,3,4,34,27.0
0,1,43,1,Business,3836,2,5,5,5,4,4,4,2,2,2,2,3,2,1,4,0.0
1,1,42,0,Eco,859,4,1,4,3,3,4,3,3,1,4,2,3,2,3,13,0.0
0,1,58,1,Business,1009,2,2,2,2,4,4,5,5,5,5,5,5,5,3,107,102.0
0,1,30,1,Business,678,4,2,2,2,4,4,4,4,3,2,4,2,4,4,19,8.0
1,1,54,1,Business,1735,1,1,1,1,5,4,4,4,4,4,4,5,4,3,13,1.0
1,1,37,1,Business,531,5,5,5,5,2,5,5,5,5,5,5,5,5,3,0,0.0
1,1,48,1,Business,1621,2,1,1,1,5,4,4,2,2,2,2,1,2,2,0,0.0
1,0,21,1,Eco,944,1,1,1,3,5,1,5,5,1,2,2,4,1,5,0,0.0
0,1,51,1,Business,3201,3,3,3,3,4,5,2,5,5,5,5,4,5,5,0,0.0
1,1,66,0,Eco,493,2,4,2,2,1,2,1,1,4,3,5,5,5,1,120,116.0
0,1,55,1,Eco,1041,2,5,5,5,1,3,4,2,2,2,2,3,2,2,48,79.0
0,1,60,0,Eco,745,5,3,5,2,3,5,5,4,4,5,5,4,4,3,2,6.0
1,1,49,1,Business,2017,2,2,2,2,2,4,5,5,5,5,5,4,5,5,0,3.0
1,1,50,1,Business,1032,4,4,4,4,5,4,5,4,4,4,4,5,4,3,0,0.0
0,1,49,0,Eco Plus,546,3,1,2,3,3,4,3,4,4,2,4,3,4,2,0,0.0
0,1,26,1,Business,1476,4,4,4,4,4,4,4,4,4,5,5,4,4,4,176,159.0
0,0,38,1,Eco,1180,3,3,3,4,1,3,1,1,4,5,2,4,3,1,9,0.0
1,1,31,0,Eco,302,1,4,1,3,4,1,5,4,5,4,4,5,4,4,10,0.0
1,0,27,1,Business,272,2,2,2,1,1,0,1,1,5,4,4,4,5,1,0,0.0
0,1,62,0,Eco,549,3,4,4,2,5,4,5,3,3,4,3,3,3,4,0,0.0
0,1,36,1,Business,1757,2,2,2,2,3,3,4,2,2,2,2,4,2,2,59,52.0
0,1,50,1,Business,3007,3,5,3,3,4,5,5,4,4,4,4,5,4,5,0,10.0
0,1,40,0,Eco,678,3,4,3,2,1,3,1,1,4,5,5,3,4,1,32,27.0
1,1,24,1,Business,272,1,1,1,1,5,5,5,5,4,5,3,2,2,5,0,0.0
1,0,12,1,Business,1121,5,0,5,1,3,0,3,3,2,4,5,3,5,3,22,3.0
1,1,56,1,Business,1558,1,1,3,1,2,4,4,4,4,4,4,5,4,5,33,18.0
1,0,35,1,Eco,1472,2,2,2,4,5,2,5,5,5,5,2,2,1,5,0,0.0
0,1,42,1,Business,1576,2,2,2,2,5,5,4,3,3,3,3,4,3,4,0,1.0
0,1,35,1,Eco,109,2,5,5,5,2,2,2,2,2,5,3,4,4,2,0,0.0
0,1,11,0,Eco,859,1,4,0,1,5,0,5,5,3,5,5,5,4,5,0,6.0
1,1,56,1,Business,2422,4,4,4,4,4,4,4,5,4,4,5,4,5,4,0,3.0
0,1,44,1,Business,1991,1,1,4,1,5,4,4,4,4,4,4,5,4,4,25,57.0
0,1,25,1,Eco,289,4,3,3,3,4,4,3,4,3,3,4,2,2,4,1,0.0
0,1,40,0,Eco,678,3,4,3,5,4,3,4,4,3,2,4,5,5,4,0,2.0
1,1,57,0,Eco,666,4,2,4,3,2,4,1,2,4,1,3,2,4,2,6,2.0
0,1,32,1,Business,1684,2,2,2,2,4,4,4,4,5,5,4,4,5,4,0,0.0
0,1,69,1,Business,408,3,4,4,4,3,4,3,3,3,3,3,2,3,4,0,8.0
1,0,37,1,Business,1050,1,1,1,2,3,1,3,3,5,5,5,3,5,3,0,0.0
0,1,56,1,Business,1733,4,2,4,4,5,4,5,5,5,5,5,5,5,3,3,0.0
1,1,27,1,Business,2978,5,5,5,5,4,4,4,4,5,3,5,5,5,4,0,0.0
0,1,69,1,Business,862,2,5,5,5,5,3,4,2,2,2,2,4,2,1,6,9.0
0,1,69,0,Eco,444,4,2,4,2,1,2,1,1,1,4,4,3,1,2,0,0.0
1,1,42,1,Business,431,4,4,4,4,3,4,5,4,4,4,4,5,4,5,0,0.0
1,1,34,1,Business,143,0,3,0,3,5,2,2,3,3,3,3,5,3,5,0,0.0
0,1,24,1,Business,964,4,4,4,4,5,5,5,5,5,4,2,5,5,5,0,0.0
0,1,64,0,Eco,351,4,1,4,4,1,3,4,4,4,4,4,3,4,4,0,0.0
