carat,cut,color,clarity,depth,table
0.8,Ideal,H,VVS1,61.8,57.0
1.02,Very Good,E,VS2,59.1,60.0
0.52,Fair,J,VS2,65.3,56.0
1.04,Ideal,G,VS1,61.1,56.0
0.31,Ideal,E,VS2,62.0,55.0
1.03,Good,I,I1,57.9,59.0
1.2,Premium,H,VVS2,60.0,60.0
2.0,Premium,I,VS1,61.1,58.0
0.6,Ideal,E,VS2,62.0,56.0
0.71,Ideal,J,SI2,61.3,56.0
1.54,Premium,F,VS2,62.4,59.0
1.01,Premium,F,SI1,61.9,58.0
1.04,Very Good,I,SI2,61.6,58.0
0.53,Ideal,E,VS2,62.8,57.0
1.01,Premium,G,VS1,60.7,58.0
0.3,Ideal,H,VS1,62.5,56.0
1.04,Very Good,H,SI1,63.2,57.0
0.55,Ideal,E,VS1,61.5,56.0
0.34,Ideal,G,VVS1,62.1,57.0
1.03,Ideal,D,SI1,62.2,56.0
1.01,Ideal,H,VS2,62.7,56.0
1.26,Ideal,G,VVS1,62.1,57.0
0.81,Ideal,E,VS2,62.0,55.0
0.3,Ideal,E,VS2,62.4,56.0
1.09,Ideal,G,VS2,62.8,57.0
0.43,Good,F,VS1,57.9,61.0
0.25,Very Good,E,VVS1,62.6,57.0
0.79,Ideal,D,SI1,61.5,56.0
0.77,Good,D,SI2,63.8,58.0
1.23,Premium,G,VVS2,59.6,59.0
0.39,Ideal,F,VS2,59.2,58.0
0.43,Ideal,H,VVS1,62.3,54.0
1.01,Fair,D,SI2,64.6,58.0
0.8,Good,G,SI1,63.9,57.0
0.91,Ideal,E,SI2,62.4,57.0
1.0,Ideal,G,VS2,62.3,56.0
0.5,Very Good,E,SI2,61.6,58.0
0.58,Ideal,G,VS1,61.5,55.0
1.5,Very Good,F,VS2,59.1,59.0
0.27,Ideal,G,VS2,61.6,54.0
0.4,Ideal,I,VVS2,62.0,57.0
1.22,Ideal,H,VVS2,61.7,56.0
0.74,Premium,G,SI2,62.5,56.0
1.13,Premium,H,SI2,59.4,58.0
0.36,Ideal,E,SI1,61.4,57.0
2.04,Premium,I,SI1,58.8,60.0
1.08,Ideal,I,SI1,62.1,59.0
0.76,Ideal,I,VS2,61.7,56.0
