company,type,inches,cpu,gpu,op_sys,touch_screen,hd_category,ram,memory_SSD,memory_HDD,weight
Dell,Notebook,17.3,Intel Core i7,AMD Radeon 5,Windows,0,FullHD,16,256,2048,2.8
HP,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,12,256,1024,3.35
Lenovo,2 in 1 Convertible,13.9,Intel Core i7,Intel HD,Windows,1,UHD,16,512,0,1.4
Dell,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,FullHD,8,0,1024,2.06
MSI,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,256,1024,2.7
Acer,Notebook,11.6,Intel Pentium,Intel HD,Windows,0,HD,4,0,0,1.4
Lenovo,Notebook,13.3,Intel Core i7,Intel HD,Windows,0,FullHD,16,512,0,1.4
MSI,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,256,1024,2.8
HP,Notebook,15.6,Intel Core i5,AMD Radeon R,Windows,0,FullHD,8,256,0,1.84
Asus,Notebook,15.6,Intel Core i5,Nvidia GeForce GTX,Windows,0,FullHD,8,0,1024,1.99
Lenovo,Notebook,14.0,Intel Core i7,AMD Radeon R,No OS,0,FullHD,8,512,0,1.5
Dell,Ultrabook,13.3,Intel Core i7,Other,Windows,0,FullHD,8,256,0,1.23
Dell,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,UHD,16,512,1024,4.36
Lenovo,Notebook,15.6,Intel Core i5,Intel HD,No OS,0,FullHD,4,0,1024,2.2
Dell,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,QuadHD,16,256,1024,4.42
HP,Workstation,15.6,Intel Core i7,Nvidia Quadro,Windows,0,FullHD,8,256,0,3.14
Dell,Notebook,14.0,Intel Core i5,Intel HD,Windows,0,HD,8,256,0,1.6
Acer,Notebook,15.6,Intel Core i3,Intel HD,Windows,0,HD,4,0,500,2.4
Dell,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.9
Asus,Notebook,15.6,Intel Pentium,Intel HD,Windows,0,HD,4,0,500,2.0
Asus,Gaming,17.3,AMD,AMD Radeon R,Windows,0,FullHD,16,256,1024,3.25
Dell,Notebook,15.6,Intel Core i5,AMD Radeon 5,Windows,0,FullHD,8,256,0,2.13
HP,Notebook,14.0,Intel Core i7,Nvidia GeForce,Windows,0,FullHD,8,256,0,1.63
Lenovo,Notebook,14.0,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.7
HP,Notebook,15.6,Intel Core i5,AMD Radeon 5,Windows,0,FullHD,6,256,0,1.91
Lenovo,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,1,FullHD,8,512,0,1.37
HP,Notebook,13.3,Intel Core i7,Intel HD,Windows,0,FullHD,8,512,0,1.49
HP,Netbook,12.5,Intel Core i5,Intel HD,Windows,0,HD,4,128,0,2.4
HP,Ultrabook,15.6,Intel Core i7,AMD Radeon R,Windows,0,FullHD,8,256,0,1.84
Lenovo,2 in 1 Convertible,14.0,Intel Core i7,Intel HD,Windows,1,QuadHD,16,512,0,1.36
Dell,Ultrabook,13.3,Intel Core i5,Intel HD,Linux,1,QuadHD,8,256,0,1.23
MSI,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,128,1024,4.14
Acer,Notebook,14.0,Intel Celeron,Intel HD,Other,0,HD,4,0,0,1.45
Asus,Gaming,17.3,AMD,AMD Radeon R,Windows,0,FullHD,8,256,1024,3.2
Lenovo,Notebook,15.6,Intel Core i7,AMD Radeon R,Windows,0,FullHD,8,256,0,2.1
HP,Ultrabook,12.5,Intel Core M,Intel HD,Windows,1,UHD,8,240,0,1.09
Dell,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1,UHD,16,128,1024,2.72
Acer,Notebook,17.3,Intel Core i3,Nvidia GeForce,Windows,0,FullHD,4,0,1024,3.0
Lenovo,2 in 1 Convertible,13.3,Intel Core i7,Intel HD,Windows,1,QuadHD,16,512,0,1.3
Lenovo,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,FullHD,8,0,1024,2.3
MSI,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,8,256,0,2.6
Asus,Ultrabook,15.6,Intel Core i7,Nvidia GeForce,Windows,0,FullHD,16,512,0,1.63
Lenovo,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,2.3
HP,Notebook,17.3,Intel Core i5,Nvidia GeForce,Windows,0,FullHD,8,256,0,2.63
Lenovo,Notebook,17.3,Intel Core i7,Nvidia Quadro,Windows,0,UHD,16,512,0,2.4
Dell,Notebook,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1,UHD,16,512,0,2.06
Dell,Notebook,15.6,Intel Core i7,AMD Radeon R,Windows,0,FullHD,8,256,0,2.33
Lenovo,Notebook,15.6,Intel Core i7,Nvidia Quadro,Windows,0,FullHD,16,512,0,2.5
Dell,Notebook,15.6,Intel Core i3,Intel HD,Windows,0,HD,4,0,1024,2.18
Lenovo,2 in 1 Convertible,14.0,Intel Core i5,Intel HD,Windows,1,QuadHD,8,256,0,1.42
Apple,Ultrabook,12.0,Intel Core M,Intel HD,Other,0,FullHD,8,0,0,0.92
Dell,Notebook,15.6,Intel Core i3,Intel HD,Windows,0,HD,4,128,0,2.18
HP,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,HD,4,0,500,2.31
