company,type,inches,cpu,gpu,op_sys,price_EUR,touch_screen,hd_category,ram,memory_SSD,memory_HDD,weight
Apple,Ultrabook,13.3,Intel Core i5,Other,Other,1339.69,0,QuadHD,8,128,0,1.37
Apple,Ultrabook,13.3,Intel Core i5,Intel HD,Other,898.94,0,HD,8,0,0,1.34
HP,Notebook,15.6,Intel Core i5,Intel HD,No OS,575.0,0,FullHD,8,256,0,1.86
Apple,Ultrabook,15.4,Intel Core i7,Other,Other,2537.45,0,QuadHD,16,512,0,1.83
Apple,Ultrabook,13.3,Intel Core i5,Other,Other,1803.6,0,QuadHD,8,256,0,1.37
Acer,Notebook,15.6,AMD,AMD Radeon R,Windows,400.0,0,HD,4,0,500,2.1
Apple,Ultrabook,15.4,Intel Core i7,Other,Other,2139.97,0,QuadHD,16,0,0,2.04
Apple,Ultrabook,13.3,Intel Core i5,Intel HD,Other,1158.7,0,HD,8,0,0,1.34
Asus,Ultrabook,14.0,Intel Core i7,Nvidia GeForce,Windows,1495.0,0,FullHD,16,512,0,1.3
Acer,Ultrabook,14.0,Intel Core i5,Intel HD,Windows,770.0,0,FullHD,8,256,0,1.6
HP,Notebook,15.6,Intel Core i5,Intel HD,No OS,393.9,0,HD,4,0,500,1.86
HP,Notebook,15.6,Intel Core i3,Intel HD,No OS,344.99,0,FullHD,4,0,500,1.86
Apple,Ultrabook,15.4,Intel Core i7,Other,Other,2439.97,0,QuadHD,16,256,0,1.83
Dell,Notebook,15.6,Intel Core i3,AMD Radeon R,Windows,498.9,0,FullHD,4,256,0,2.2
Apple,Ultrabook,12.0,Intel Core M,Intel HD,Other,1262.4,0,FullHD,8,256,0,0.92
Apple,Ultrabook,13.3,Intel Core i5,Other,Other,1518.55,0,QuadHD,8,256,0,1.37
Dell,Notebook,15.6,Intel Core i7,AMD Radeon R,Windows,745.0,0,FullHD,8,256,0,2.2
Apple,Ultrabook,15.4,Intel Core i7,Other,Other,2858.0,0,QuadHD,16,512,0,1.83
Lenovo,Notebook,15.6,Intel Core i3,Nvidia GeForce,No OS,499.0,0,FullHD,8,0,1024,2.2
Dell,Ultrabook,13.3,Intel Core i5,Intel HD,Windows,979.0,1,FullHD,8,128,0,1.22
Asus,Netbook,11.6,Other,Intel HD,Windows,191.9,0,HD,2,0,0,0.98
Lenovo,Gaming,15.6,Intel Core i5,Nvidia GeForce GTX,Windows,999.0,0,FullHD,8,128,1024,2.5
HP,Notebook,15.6,AMD,AMD Radeon R,No OS,258.0,0,HD,4,0,500,1.86
Dell,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,819.0,1,FullHD,8,256,0,1.62
HP,Ultrabook,15.6,Intel Core i7,Intel HD,Windows,659.0,0,FullHD,8,256,0,1.91
Dell,Notebook,15.6,Intel Core i3,Intel HD,Windows,418.64,0,HD,4,0,1024,2.3
Apple,Ultrabook,13.3,Intel Core i5,Intel HD,Other,1099.0,0,HD,8,0,0,1.35
Dell,Notebook,15.6,Intel Core i5,AMD Radeon 5,Windows,800.0,0,FullHD,8,256,0,2.2
Dell,Ultrabook,15.6,Intel Core i7,Intel HD,Windows,1298.0,0,FullHD,8,512,0,1.88
HP,Notebook,17.3,Intel Core i5,Nvidia GeForce,Windows,896.0,0,FullHD,8,0,1024,2.5
Other,Notebook,15.6,Other,Intel HD,Windows,244.99,0,FullHD,4,0,0,1.89
Asus,Notebook,14.0,AMD,AMD Radeon R,Windows,199.0,0,HD,2,0,0,1.65
HP,Notebook,17.3,AMD,AMD Radeon 5,Windows,439.0,0,FullHD,4,0,500,2.71
Dell,Ultrabook,13.3,Intel Core i7,Intel HD,Windows,1869.0,1,QuadHD,16,512,0,1.2
Apple,Ultrabook,13.3,Intel Core i5,Intel HD,Other,998.0,0,HD,8,0,0,1.35
Lenovo,Notebook,14.0,Intel Celeron,Intel HD,Windows,249.0,0,HD,4,0,0,1.44
Acer,Notebook,15.6,Intel Core i3,Intel HD,Linux,367.0,0,HD,4,0,1024,2.1
Dell,Notebook,17.3,Intel Core i5,AMD Radeon 5,Windows,979.0,0,FullHD,8,128,1024,2.8
HP,Notebook,15.6,Intel Core i5,Intel HD,Windows,488.69,0,HD,4,0,1024,1.86
HP,Notebook,15.6,Intel Core i5,Nvidia GeForce,Windows,879.0,0,FullHD,8,256,0,2.1
Asus,Notebook,15.6,Intel Core i3,Intel HD,Linux,389.0,0,FullHD,4,0,1024,2.0
Dell,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1499.0,0,FullHD,16,256,1024,2.65
Asus,Notebook,15.6,Intel Core i5,Nvidia GeForce,Linux,522.99,0,HD,8,0,1024,2.3
Acer,Notebook,15.6,Intel Core i5,Intel HD,Windows,682.0,0,FullHD,4,256,0,2.2
Dell,2 in 1 Convertible,17.3,Intel Core i5,Nvidia GeForce,Windows,999.0,1,FullHD,12,0,1024,2.77
Apple,Ultrabook,13.3,Intel Core i5,Other,Other,1419.0,0,QuadHD,8,256,0,1.37
Lenovo,Notebook,15.6,Intel Core i3,Intel HD,No OS,369.0,0,HD,4,128,0,2.2
Asus,Gaming,17.3,AMD,AMD Radeon R,Windows,1299.0,0,FullHD,8,256,1024,3.2
Dell,Notebook,15.6,Intel Core i5,AMD Radeon R,Windows,639.0,0,FullHD,4,256,0,2.3
Asus,Notebook,17.3,Intel Pentium,Nvidia GeForce,Windows,466.0,0,HD,4,0,1024,2.8
Lenovo,2 in 1 Convertible,10.1,Other,Intel HD,Other,319.0,1,FullHD,4,0,0,0.69
Acer,Notebook,15.6,Intel Core i7,Nvidia GeForce,Windows,841.0,0,FullHD,8,256,0,2.2
HP,Notebook,15.6,AMD,AMD Radeon R,Windows,398.49,0,FullHD,4,256,0,1.86
HP,Notebook,13.3,Intel Core i7,Intel HD,Windows,1103.0,0,FullHD,8,512,0,1.49
Acer,Notebook,15.6,Intel Core i3,Intel HD,Windows,384.0,0,HD,4,0,1024,2.4
Dell,Notebook,15.6,Intel Core i7,AMD Radeon 5,Windows,767.8,0,FullHD,8,256,0,2.13
HP,Notebook,15.6,Intel Core i3,Intel HD,Windows,439.0,0,FullHD,4,128,0,1.91
Asus,Notebook,15.6,Intel Core i5,Intel HD,Windows,586.19,0,HD,4,256,0,2.0
MSI,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,2449.0,0,FullHD,16,256,2048,2.43
Asus,Notebook,15.6,Intel Core i3,Intel HD,Linux,415.0,0,FullHD,4,256,0,2.0
