,MAE,MAPE,RMSE
DummyRegressorMedian,490.824,58.169,667.9119999999998
DummyRegressorQuantile,579.7280000000002,46.463,826.321
LinearRegression,209.576,21.972,285.577
RidgeRegression,209.445,21.83,285.552
LassoRegression,209.255,21.883000000000006,284.87
ElasticNetRegression,209.729,21.88,285.4170000000001
KNN,206.903,19.981,300.964
RadiusNN,428.827,55.66,591.425
SVMLinear,206.003,20.424,288.413
SVMPolynomial,198.942,19.103,299.185
SVMRadialBasis,177.794,16.373,263.03
DecisionTree,209.231,20.13,292.816
RandomForest,171.65599999999995,16.408,251.145
AdaBoost,260.559,29.305,336.241
GradientBoosting,161.806,15.307,245.672
xgBoost,157.27,15.073,234.011
LightGBM,169.22799999999998,16.779,238.278
CatBoost,156.86,15.013,236.617
