iter	AUC	Logloss
0	0.9216285825	0.6012537261
1	0.9664652441	0.5114213927
2	0.9690543311	0.4523424306
3	0.9712949518	0.405378655
4	0.9756670199	0.3643892482
5	0.9783925431	0.3293427042
6	0.9785014923	0.3133196677
7	0.9793649763	0.2941568957
8	0.9803926075	0.275252799
9	0.9804437914	0.2607867832
10	0.9823753933	0.2406229915
11	0.9829595868	0.2292973803
12	0.9833104575	0.221063844
13	0.9839002543	0.2141885961
14	0.9843213602	0.2082438427
15	0.9865942357	0.1916098888
16	0.9866602124	0.1868392983
17	0.9868593244	0.1835679598
18	0.9873898481	0.1786408913
19	0.9874408283	0.1751082182
20	0.9881335227	0.1637468628
21	0.9885128786	0.160555563
22	0.9892671486	0.1542897878
23	0.9894952349	0.152050824
24	0.9896544307	0.1505195975
25	0.9897602828	0.148306458
26	0.9903017687	0.1452576931
27	0.990406602	0.1434493146
28	0.9906796576	0.1416638551
29	0.9907537846	0.1396643023
30	0.9912912157	0.1346202805
31	0.9914485574	0.1328483668
32	0.9916109726	0.1310588205
33	0.9917381581	0.1297079399
34	0.9919750263	0.128070879
35	0.9921470385	0.1268044302
36	0.9922852269	0.1257040163
37	0.9923636532	0.1245728266
38	0.9926785403	0.122145988
39	0.9927696607	0.1213285031
40	0.9927918295	0.1205195018
41	0.9928928933	0.1198446016
42	0.9930286774	0.118635994
43	0.993151421	0.1168866212
44	0.9932569878	0.1160346541
45	0.9933544247	0.1150554862
46	0.9934907385	0.1137613471
47	0.9935880939	0.1130393883
48	0.9936909508	0.112121501
49	0.9937738801	0.1114394945
50	0.9938618627	0.1107157612
51	0.9939157769	0.1101305068
52	0.9939854621	0.1096032353
53	0.9940764195	0.1088496853
54	0.9941445968	0.1080798834
55	0.9942014859	0.1077265539
56	0.9942808291	0.107142075
57	0.9944219516	0.1057132588
58	0.9944999501	0.1051039058
59	0.9945269683	0.1047486465
60	0.9945974277	0.1043653446
61	0.9946533796	0.1038011753
62	0.9947583962	0.1027423299
63	0.9948099877	0.1022758889
64	0.9948830959	0.1017794195
65	0.9949338723	0.1013844416
66	0.9949804717	0.1010701248
67	0.9950561065	0.1005961133
68	0.9950985288	0.100069278
69	0.9951398916	0.09975665396
70	0.9951683769	0.09944063066
71	0.9952319901	0.09882194267
72	0.9952830517	0.09832483404
73	0.9953308533	0.09790037765
74	0.995403228	0.0973568354
75	0.9954441425	0.09691687259
76	0.995496875	0.09652822788
77	0.995542802	0.09588445629
78	0.9955818827	0.09532471263
79	0.9956496932	0.09476934479
80	0.9956871846	0.09441538037
81	0.9957318483	0.09401810571
82	0.9958965252	0.09245994863
83	0.9959565522	0.09203249339
84	0.9960039462	0.09166150177
85	0.99606434	0.09118888059
86	0.9961039097	0.09058876336
87	0.9961370407	0.09028657626
88	0.9961744098	0.08991689931
89	0.9962597028	0.08922831199
90	0.9963028587	0.08889653465
91	0.9963731143	0.08837176147
92	0.99641301	0.08798093297
93	0.9964576329	0.08758432093
94	0.9965362019	0.08658170654
95	0.9965901569	0.08612359422
96	0.9966413001	0.08573689677
97	0.9966984337	0.08526879638
98	0.9967843787	0.08407628327
99	0.9968341363	0.08364669339
100	0.9968841792	0.08326547497
101	0.9969136018	0.08294711635
102	0.9969301469	0.08241490354
103	0.9969627888	0.08218962525
104	0.9970210635	0.08176069845
105	0.9970618966	0.08146852863
106	0.9971170741	0.08094310047
107	0.9971602707	0.08057617108
108	0.9971989439	0.08015598179
109	0.9972630053	0.07950367689
110	0.9973036346	0.07905895471
111	0.9973335055	0.07868057696
112	0.9973796362	0.07819765965
113	0.9974377479	0.07774337342
114	0.9974793959	0.07698926882
115	0.9975319246	0.07643916981
116	0.9976038103	0.07578541171
117	0.997649126	0.07533966723
118	0.9976925672	0.07494494401
119	0.9977244756	0.07466549233
120	0.9977845841	0.07408618648
121	0.9978265174	0.07362940439
122	0.997861523	0.07326799241
123	0.9978975881	0.0728759179
124	0.9979286407	0.07256091809
125	0.9979577781	0.07215854988
126	0.9979968995	0.07183288294
127	0.9980342279	0.07145789417
128	0.9980765688	0.07098302003
129	0.9981309721	0.07048169619
130	0.9981670372	0.07004299001
131	0.9981994754	0.06967461981
132	0.9982270642	0.06938177294
133	0.9982518411	0.0690574191
134	0.998290392	0.06869786338
135	0.9983262126	0.06833462774
136	0.9983610959	0.06799527168
137	0.9983879919	0.06768248212
138	0.9984093457	0.06739447644
139	0.9984423952	0.06695878805
140	0.9984664794	0.06669080424
141	0.9985093092	0.06634911623
142	0.998529359	0.06597726686
143	0.9985562142	0.06558396646
144	0.9985853516	0.06520797466
145	0.998631197	0.06471061291
146	0.9986577263	0.06440346301
147	0.9986788356	0.06400191271
148	0.9987020232	0.06370068483
149	0.9987380068	0.06337409172
150	0.9987640062	0.06296698646
151	0.9987827519	0.06264688867
152	0.9988122968	0.0623023622
153	0.9988363402	0.06201344296
154	0.9988633585	0.06152337316
155	0.9988739131	0.0611906825
156	0.9988902545	0.06086065507
157	0.9989064736	0.06047018648
158	0.9989372002	0.06008670857
159	0.998957576	0.05980800981
