iter	Passed	Remaining
0	18	2904
1	39	3152
2	56	2955
3	75	2948
4	96	2976
5	113	2905
6	130	2841
7	147	2806
8	163	2739
9	179	2692
10	196	2657
11	212	2623
12	227	2573
13	244	2553
14	259	2511
15	276	2491
16	291	2455
17	307	2425
18	322	2392
19	337	2365
20	354	2343
21	368	2313
22	385	2298
23	402	2278
24	417	2252
25	433	2235
26	451	2225
27	470	2220
28	487	2204
29	504	2187
30	521	2169
31	539	2159
32	555	2138
33	572	2120
34	587	2099
35	603	2078
36	617	2053
37	636	2043
38	653	2026
39	668	2006
40	683	1984
41	699	1965
42	714	1944
43	731	1927
44	747	1909
45	764	1894
46	780	1877
47	796	1859
48	813	1841
49	829	1825
50	846	1808
51	863	1792
52	878	1773
53	893	1753
54	909	1736
55	924	1717
56	940	1699
57	956	1681
58	973	1666
59	988	1648
60	1004	1630
61	1021	1614
62	1041	1602
63	1060	1590
64	1077	1574
65	1092	1556
66	1107	1537
67	1122	1518
68	1138	1501
69	1153	1482
70	1172	1470
71	1189	1454
72	1205	1436
73	1220	1418
74	1236	1401
75	1251	1383
76	1269	1368
77	1285	1351
78	1302	1335
79	1318	1318
80	1332	1299
81	1348	1283
82	1364	1265
83	1378	1247
84	1394	1230
85	1409	1212
86	1425	1195
87	1440	1178
88	1457	1162
89	1472	1144
90	1486	1126
91	1501	1109
92	1517	1092
93	1533	1076
94	1554	1063
95	1571	1047
96	1587	1031
97	1603	1014
98	1619	997
99	1634	980
100	1650	964
101	1677	954
102	1709	946
103	1749	942
104	1774	929
105	1790	911
106	1805	894
107	1819	876
108	1835	858
109	1850	840
110	1866	823
111	1880	805
112	1896	788
113	1913	772
114	1930	755
115	1947	738
116	1961	720
117	1976	703
118	1992	686
119	2009	669
120	2027	653
121	2042	636
122	2058	619
123	2074	602
124	2088	584
125	2102	567
126	2117	550
127	2131	532
128	2147	516
129	2162	499
130	2178	482
131	2193	465
132	2209	448
133	2226	431
134	2241	415
135	2258	398
136	2275	382
137	2292	365
138	2311	349
139	2328	332
140	2343	315
141	2359	299
142	2373	282
143	2393	265
144	2407	249
145	2423	232
146	2437	215
147	2453	198
148	2470	182
149	2485	165
150	2499	148
151	2513	132
152	2529	115
153	2542	99
154	2559	82
155	2573	65
156	2587	49
157	2601	32
158	2617	16
159	2636	0
