iter	AUC	Logloss
0	0.6030538983	0.6929504271
1	0.613869812	0.6927517086
2	0.6181123918	0.6925766157
3	0.619335068	0.6924342189
4	0.6189611157	0.6922683956
5	0.6196307669	0.6921322036
6	0.6218222248	0.6919353609
7	0.6227238803	0.6917801111
8	0.6229140281	0.691627516
9	0.6224061872	0.691466747
10	0.6231998478	0.6912689139
11	0.6234656493	0.6910800018
12	0.622820852	0.6909699119
13	0.6228123767	0.6908496392
14	0.6232761254	0.6906550738
15	0.622762097	0.6905296221
16	0.622762097	0.6905296221
17	0.6230319541	0.6903827826
18	0.6234967426	0.6902471441
19	0.6234460469	0.6900963769
20	0.6229580164	0.6899309825
21	0.6232700939	0.6897522679
22	0.6231003803	0.6896596927
23	0.6229752269	0.6894887931
24	0.6223239822	0.6894154037
25	0.6225336804	0.6892654528
26	0.6224351488	0.6891476853
27	0.6226044464	0.688986635
28	0.621938175	0.6888773771
29	0.6221467812	0.6887330722
30	0.6218066261	0.6885995579
31	0.6217779246	0.6884455375
32	0.622125723	0.6883316218
33	0.6221219794	0.6881909217
34	0.6222495245	0.6880101521
35	0.6222277904	0.6878985954
36	0.6222458328	0.6877781369
37	0.6220574008	0.6876452117
38	0.6221350302	0.6874982018
39	0.6219451424	0.687433096
40	0.6221090325	0.687279198
41	0.6219481061	0.687179183
42	0.6216357166	0.687062255
43	0.6216287492	0.6869227009
44	0.6217051827	0.6867947203
45	0.6217465192	0.6866850982
46	0.6214837335	0.686557501
47	0.6218445309	0.6864317466
48	0.621985283	0.6862752727
49	0.6218800959	0.6861562456
50	0.6217043508	0.6860248422
51	0.6220280753	0.6858895607
52	0.6220888062	0.6857547816
53	0.6220678	0.6856807627
54	0.6221713752	0.6855795987
55	0.6218820197	0.6854485252
56	0.6217197415	0.6853423464
57	0.6216715416	0.6852371496
58	0.6216918199	0.6851175401
59	0.6217037789	0.684990847
60	0.6218144775	0.6848803045
61	0.6218339758	0.6847897285
62	0.6223676585	0.6846766832
63	0.6222132316	0.6845748475
64	0.6223390609	0.6844708633
65	0.6221683074	0.6843492525
66	0.6219922504	0.684233129
67	0.6221750668	0.6841023633
68	0.6220104488	0.6839731958
69	0.6221044568	0.6838333204
70	0.6223079156	0.6836862543
71	0.6223634469	0.6835534289
72	0.6223458723	0.6834708075
73	0.6223458723	0.6834708075
74	0.6223458723	0.6834708074
75	0.6224398804	0.6833379782
76	0.6224776812	0.683227799
77	0.6225687774	0.6831285638
78	0.6225992468	0.6829956939
79	0.622667673	0.6828589235
80	0.6226346558	0.6827422277
81	0.6227085935	0.6826781734
82	0.6227454064	0.6825961214
83	0.6227576254	0.6824757416
84	0.6228719637	0.6823905381
85	0.6228880303	0.68230067
86	0.6228825188	0.6821741353
87	0.6228848066	0.6820357505
88	0.6228948937	0.6819387736
89	0.6228792431	0.6818471696
90	0.6229119483	0.6817535973
91	0.6228453939	0.6816684117
92	0.6229547926	0.6815792834
93	0.6228973895	0.6815037328
94	0.6228068132	0.6813982971
95	0.6227232043	0.6812938022
96	0.6227232043	0.6812938022
97	0.6228539212	0.6811732862
98	0.6228891222	0.6810712385
99	0.6229321746	0.6809448663
100	0.6227956342	0.6808874685
101	0.6227890827	0.6808042319
102	0.6229338384	0.6806873201
103	0.6229825583	0.6805809442
104	0.6229684155	0.6804868657
105	0.6230436531	0.6804200887
106	0.6230857695	0.6803433365
107	0.6230780222	0.680217647
108	0.6230152635	0.6801298133
109	0.623115303	0.680069302
110	0.6231425487	0.6799537798
111	0.6232236618	0.679850712
112	0.6232230379	0.6797810056
113	0.6231662587	0.6796772753
114	0.6231401049	0.6795737083
115	0.6232045794	0.6794578719
116	0.6232267296	0.6793550998
117	0.6232201781	0.6792369535
118	0.6231580954	0.6791617769
119	0.6230888373	0.6791010215
120	0.6230753704	0.6790058308
121	0.6232195022	0.6788867368
122	0.6232436281	0.6787845274
123	0.6232961437	0.6787325117
124	0.6233556266	0.6786357319
125	0.6234018507	0.6785436682
126	0.6233468394	0.6784730616
127	0.6234107939	0.6783754373
128	0.6234624775	0.6782792264
129	0.6234366877	0.6781791691
130	0.6234209331	0.6780684413
131	0.6234006548	0.6780196352
132	0.6234528584	0.6779464977
133	0.6234625295	0.6778748478
134	0.6234779202	0.6778233193
