iter	Passed	Remaining
0	11	2026
1	16	1445
2	20	1192
3	24	1070
4	28	996
5	32	940
6	38	943
7	42	911
8	46	883
9	50	856
10	54	840
11	58	820
12	62	800
13	67	795
14	71	785
15	75	769
16	77	739
17	81	733
18	85	726
19	89	716
20	93	711
21	99	713
22	102	701
23	107	695
24	111	688
25	115	681
26	119	676
27	123	672
28	128	669
29	133	665
30	137	660
31	141	655
32	145	648
33	150	644
34	154	639
35	158	635
36	163	631
37	167	624
38	171	619
39	174	611
40	179	607
41	182	600
42	187	597
43	192	595
44	196	590
45	200	585
46	204	579
47	209	574
48	213	571
49	217	565
50	221	560
51	225	555
52	229	550
53	232	543
54	237	538
55	240	533
56	244	528
57	249	524
58	253	519
59	257	515
60	262	511
61	266	506
62	270	502
63	274	497
64	278	493
65	283	489
66	287	484
67	291	480
68	295	475
69	300	471
70	304	467
71	308	463
72	313	459
73	315	451
74	317	444
75	321	439
76	325	435
77	330	431
78	334	427
79	338	423
80	343	420
81	347	414
82	351	410
83	355	406
84	360	403
85	364	398
86	368	393
87	372	389
88	377	386
89	381	381
90	385	377
91	390	373
92	393	368
93	397	363
94	401	359
95	406	355
96	408	349
97	412	345
98	416	341
99	420	336
100	424	332
101	428	327
102	433	323
103	437	319
104	441	315
105	445	310
106	449	306
107	454	302
108	458	298
109	462	294
110	466	289
111	471	286
112	475	281
113	479	277
114	484	273
115	488	269
116	492	265
117	497	261
118	501	257
119	506	253
120	511	249
121	515	245
122	519	240
123	524	236
124	529	232
125	534	228
126	538	224
127	542	220
128	546	215
129	550	211
130	555	207
131	559	203
132	564	199
133	568	195
134	572	190
135	578	187
136	582	182
137	586	178
138	591	174
139	595	170
140	599	165
141	604	161
142	608	157
143	612	153
144	616	148
145	621	144
146	624	140
147	628	135
148	631	131
149	635	127
150	639	122
151	644	118
152	648	114
153	654	110
154	658	106
155	661	101
156	665	97
157	669	93
158	673	88
159	677	84
160	682	80
161	686	76
162	691	72
163	695	67
164	699	63
165	703	59
166	707	55
167	712	50
168	716	46
169	720	42
170	724	38
171	728	33
172	730	29
173	734	25
174	739	21
175	744	16
176	748	12
177	752	8
178	756	4
179	760	0
