iter	RMSE
0	3716.121629
1	3462.024536
2	3231.341825
3	3019.12879
4	2821.009746
5	2647.146802
6	2478.381781
7	2328.627608
8	2185.172014
9	2057.366665
10	1940.115296
11	1825.143323
12	1726.36186
13	1629.046633
14	1538.555067
15	1458.825463
16	1384.8416
17	1315.660197
18	1253.90009
19	1205.433285
20	1153.681714
21	1102.608961
22	1059.28528
23	1022.342514
24	981.7675436
25	946.6379491
26	914.9725975
27	883.5700979
28	856.5335563
29	835.1787011
30	811.4976065
31	791.2123278
32	771.647818
33	753.9101723
34	739.4359221
35	725.5156514
36	712.440623
37	700.3979709
38	688.4850772
39	678.7654028
40	669.413126
41	660.7197411
42	652.4852835
43	646.5987753
44	639.4572226
45	634.0922578
46	627.9438608
47	622.0195829
48	616.4403674
49	610.6537769
50	605.1939706
51	601.163362
52	595.952889
53	592.1985968
54	588.8626773
55	585.4899506
56	582.5438224
57	578.8860749
58	576.1029679
59	573.1736185
60	570.3411092
61	567.9316573
62	565.1058457
63	562.9133152
64	560.4606292
65	557.8900165
66	555.4389686
67	553.7365517
68	552.0671513
69	550.2294487
70	548.3962965
71	546.7109566
72	545.5280832
73	544.0663054
74	542.6615106
75	541.4470913
76	539.7392829
77	538.2736311
78	537.2542386
79	536.0370966
80	534.7336432
81	533.5607768
82	531.9229749
83	530.8285015
84	529.8926441
85	529.3600723
86	528.0666477
87	527.0898116
88	526.0123933
89	524.7547156
90	523.7958768
91	522.9945758
92	521.8470575
93	520.8776921
94	519.9760655
95	519.2283643
96	518.6544144
97	517.895296
98	517.1860523
99	516.4720023
100	515.961123
101	515.4211163
102	515.0061366
103	514.3483998
104	513.6999753
105	512.9714162
106	511.9216652
107	511.37251
108	510.814226
109	509.7286326
110	508.9940701
111	508.4712748
112	507.9605768
113	507.3851761
114	506.6864942
115	506.3798807
116	505.9024267
117	505.5497577
118	505.096751
119	504.4649247
120	504.0995994
121	503.2355307
122	502.8735873
123	502.5150295
124	501.9301865
125	501.4339485
126	500.8112234
127	500.4168973
128	499.8651102
129	499.6097772
130	499.183144
131	498.8112348
132	498.1761226
133	497.8118024
134	497.1898027
135	496.8250698
136	496.4114202
137	496.1063077
138	495.7204384
139	494.7028825
140	494.3367969
141	493.9535436
142	493.5995247
143	492.6692762
144	492.1596991
145	491.6447781
146	491.0849625
147	490.6578285
148	490.1653485
149	489.613453
150	489.3117445
151	488.7889564
152	488.4241769
153	487.9020633
154	487.4680525
155	486.9244874
156	486.2994763
157	485.5882958
158	484.7431606
159	484.338255
160	483.9954584
161	483.5757308
162	482.975123
163	482.1687875
164	481.7683371
165	481.727429
166	481.1808142
167	480.9181495
168	480.6202858
169	480.2826529
170	479.2873036
171	478.9236926
172	478.5399262
173	478.1129514
174	477.6974374
175	477.328779
176	476.9178581
177	476.2668187
178	476.0605124
179	475.4469297
180	474.944386
181	474.3742796
182	473.9181745
183	473.5160258
184	473.291934
185	472.6961299
186	472.32636
187	472.0005738
188	471.7510609
189	471.4916136
190	470.9259777
191	470.7308545
192	470.2714136
193	469.9169612
194	469.6432016
195	469.1239811
196	468.8160009
197	468.001409
198	467.4866077
199	467.2334357
200	466.7655238
201	466.2524071
202	465.7656254
203	465.5745761
204	465.2417081
205	464.7677531
206	464.4728818
207	464.0605411
208	463.5963818
209	463.0845442
210	462.6079986
211	462.3511419
212	462.0185331
213	461.6905158
214	461.3242103
215	461.0849257
216	460.7051881
217	460.3343185
218	460.0353928
219	459.679325
220	459.3703185
221	459.1868471
222	458.775789
223	458.6084335
224	458.3061808
225	457.8055977
226	457.4928252
227	457.4472319
228	456.9910519
229	456.5652576
230	456.3672295
231	455.970037
232	455.6864795
233	455.0875687
234	454.9734649
235	454.6269779
236	454.3056671
237	454.0481815
238	453.8641875
239	453.7161464
240	453.4018074
241	453.2337307
242	453.0826454
243	452.7618483
244	452.6477351
245	452.2738406
246	451.8028082
247	451.2449763
248	451.0706982
249	450.6794746
250	450.5241106
251	450.2285861
252	450.1626527
253	449.8437864
254	449.7163735
255	449.0636217
256	448.7152296
257	448.4296514
258	447.9861122
259	447.7036511
260	447.4014427
261	447.2246425
262	446.8449194
263	446.5073849
264	446.2157626
265	445.7803455
266	445.2750997
267	444.9984682
268	444.807674
269	444.3644917
270	444.0662464
271	443.8508162
272	443.669855
273	443.4055441
274	443.1434352
275	442.7519489
276	442.6107991
277	442.2193999
278	441.9411839
279	441.765141
280	441.2890653
281	441.0113881
282	440.469745
283	440.2159171
284	439.9943092
285	439.8393685
286	439.5377063
287	439.4752879
288	439.2924784
289	439.0757902
290	438.821301
291	438.4132855
292	438.2379461
293	438.0409305
294	437.7642169
295	437.3946751
296	437.2035308
297	436.9593043
298	436.7988177
299	436.6619494
300	436.3598373
301	436.2650803
302	436.0407834
303	435.9617818
304	435.7145222
305	435.4620065
306	434.996446
307	434.8443872
308	434.7050525
309	434.4253828
310	434.3021388
311	434.1113072
312	433.7760579
313	433.5849209
314	433.3508463
315	432.9537713
316	432.7489398
317	432.4944524
318	432.2848776
319	431.9443049
320	431.4480467
321	431.3892998
322	431.059792
323	430.9832908
324	430.8440104
