iter	RMSE
0	612.7834179
1	574.8073602
2	540.6636411
3	510.607527
4	484.4510633
5	461.5088501
6	439.9545568
7	421.1014164
8	401.5978832
9	385.5889373
10	370.6298189
11	359.0431318
12	346.8230012
13	336.3448793
14	327.0693868
15	318.5513321
16	310.9024699
17	305.2821763
18	298.1250734
19	292.3345081
20	287.4378152
21	282.3150291
22	276.6035608
23	271.9628316
24	269.0352797
25	264.8881249
26	261.151538
27	258.5264506
28	257.1061464
29	253.9021638
30	251.4604355
31	248.6761776
32	246.4230924
33	243.0374902
34	240.898133
35	239.1572404
36	237.9913591
37	235.816498
38	233.5819038
39	232.3836223
40	231.2349235
41	230.0191979
42	229.0620967
43	227.9100025
44	226.7275248
45	226.0250104
46	224.8864518
47	224.0607654
48	222.6047211
49	220.8626743
50	219.4292128
51	218.2143241
52	217.52059
53	216.5159401
54	215.5417578
55	213.8566453
56	213.3696775
57	211.879222
58	211.0375011
59	210.0408655
60	209.1456177
61	207.6591834
62	206.7625934
63	206.3123009
64	205.366036
65	204.9327683
66	203.6435982
67	202.6966269
68	201.774357
69	201.0346958
70	200.6544872
71	199.6048878
72	198.368855
73	196.7750435
74	195.1187829
75	193.3497734
76	192.2588883
77	190.9417104
78	189.9370851
79	188.8727396
80	187.8855692
81	187.2308613
82	186.7519859
83	185.3688538
84	184.3248829
85	183.5731877
86	182.8893261
87	182.274268
88	181.7337254
89	181.3936716
90	180.2647289
91	179.2077768
92	178.7209503
93	178.0201318
94	176.7456424
95	176.1876528
96	174.7372925
97	174.4185567
98	173.5081578
99	172.9286634
100	172.3507392
101	171.6881327
102	171.0105965
103	170.5114293
104	169.5841404
105	168.9280649
106	168.3338992
107	167.7135802
108	166.7734792
109	166.4748346
110	165.9327243
111	165.2387498
112	164.5535325
113	164.4005765
114	163.980447
115	163.3334758
116	162.5478407
117	162.3131356
118	161.4327724
119	160.6780422
120	159.68323
121	159.1156069
122	158.6302044
123	158.1843494
124	157.634809
125	157.1793134
126	156.9661529
127	156.6128317
128	155.9827679
129	155.2232251
130	154.6532515
131	153.9755299
132	153.4949636
133	152.9260402
134	152.5861509
135	152.3473798
136	151.9275275
137	151.7605398
138	151.3502303
139	151.1625253
140	150.9143772
141	150.3898238
142	150.0089767
143	149.6632811
144	149.261987
145	148.993827
146	148.5983105
147	148.3230642
148	148.0947914
149	147.3523358
150	147.0044555
151	146.2685645
152	146.0209172
153	145.4373803
154	145.1589518
155	144.7899689
156	144.4638931
157	143.4876694
158	142.8604306
159	142.570163
160	142.1529347
161	141.9653586
162	141.0054282
163	140.6121992
164	140.364766
165	140.1499966
166	139.7818906
167	139.4830485
168	138.812166
169	138.5243003
170	138.1500597
171	137.4157744
172	137.0532501
173	136.7867764
174	136.1653035
175	135.9968546
176	135.7994388
177	135.3216142
178	134.909707
179	134.4062464
180	134.1340888
181	133.6947019
182	133.3059517
183	132.8317387
184	132.5145835
185	131.9657938
186	131.7363612
187	131.2655421
188	131.0471957
189	130.8485755
190	130.2651894
191	129.6401691
192	129.5012201
193	129.3376069
194	128.8665564
195	128.4109268
196	128.2764372
197	128.093571
198	127.6876442
199	127.4469907
200	127.2565398
201	127.1538393
202	126.9877117
203	126.8125479
204	126.6449217
205	126.4752546
206	126.2800794
207	126.1045925
208	125.6492694
209	125.3511701
210	125.0406679
211	124.7935264
212	124.4790996
213	124.2939828
214	124.1376816
215	123.9878487
216	123.6996809
217	123.508628
218	123.09158
219	122.9565968
220	122.6109775
221	122.497207
222	122.326745
223	121.9208734
224	121.6454774
