iter	Passed	Remaining
0	12	3236
1	17	2193
2	24	2056
3	35	2157
4	39	1951
5	44	1828
6	49	1733
7	54	1652
8	58	1579
9	63	1527
10	68	1490
11	73	1452
12	77	1412
13	82	1388
14	86	1359
15	91	1344
16	97	1330
17	101	1314
18	106	1296
19	111	1279
20	116	1266
21	120	1253
22	126	1245
23	132	1246
24	136	1231
25	142	1228
26	147	1217
27	152	1212
28	160	1219
29	164	1203
30	170	1206
31	175	1195
32	180	1185
33	185	1176
34	190	1168
35	194	1155
36	199	1148
37	204	1140
38	209	1132
39	213	1121
40	218	1114
41	222	1103
42	227	1094
43	231	1083
44	237	1081
45	241	1070
46	246	1064
47	251	1057
48	256	1051
49	260	1042
50	265	1034
51	269	1026
52	274	1018
53	278	1011
54	283	1003
55	288	998
56	293	992
57	297	985
58	302	980
59	309	978
60	312	967
61	316	961
62	321	953
63	326	949
64	328	936
65	334	931
66	337	921
67	342	915
68	346	908
69	350	901
70	354	892
71	358	886
72	363	882
73	368	876
74	372	868
75	376	861
76	380	854
77	385	849
78	389	843
79	393	836
80	397	829
81	402	824
82	406	818
83	411	812
84	415	806
85	419	800
86	422	791
87	426	785
88	431	780
89	435	774
90	440	770
91	445	764
92	449	759
93	454	754
94	459	748
95	464	744
96	468	738
97	472	733
98	477	728
99	480	721
100	485	715
101	490	712
102	494	705
103	498	699
104	502	694
105	507	689
106	512	684
107	516	679
108	527	682
109	529	674
110	534	669
111	539	665
112	544	660
113	549	655
114	553	650
115	559	646
116	563	640
117	568	635
118	573	630
119	577	625
120	582	620
121	586	615
122	591	611
123	596	606
124	601	601
125	605	596
126	610	591
127	615	586
128	620	581
129	625	577
130	629	571
131	635	567
132	639	562
133	644	558
134	648	552
135	654	548
136	660	544
137	665	540
138	669	535
139	675	530
140	679	525
141	684	520
142	689	516
143	694	511
144	698	506
145	703	501
146	708	496
147	712	491
148	716	485
149	721	481
150	726	476
151	731	471
152	736	466
153	739	460
154	743	455
155	748	450
156	754	446
157	758	441
158	762	436
159	766	431
160	771	426
161	775	421
162	780	416
163	785	411
164	789	406
165	794	401
166	798	396
167	803	392
168	807	387
169	811	382
170	815	376
171	820	372
172	824	366
173	830	362
174	834	357
175	839	352
176	843	347
177	848	343
178	853	338
179	858	333
180	862	328
181	867	324
182	871	319
183	876	314
184	881	309
185	885	304
186	890	299
187	894	295
188	899	290
189	904	285
190	909	280
191	912	275
192	916	270
193	921	265
194	926	261
195	930	256
196	934	251
197	938	246
198	943	241
199	950	237
200	955	232
201	960	228
202	965	223
203	970	218
204	975	214
205	979	209
206	984	204
207	989	199
208	992	194
209	997	189
210	1002	185
211	1007	180
212	1012	175
213	1017	171
214	1021	166
215	1025	161
216	1030	156
217	1034	151
218	1039	147
219	1045	142
220	1050	137
221	1055	133
222	1059	128
223	1064	123
224	1069	118
225	1074	114
226	1079	109
227	1084	104
228	1088	99
229	1094	95
230	1098	90
231	1102	85
232	1109	80
233	1112	76
234	1117	71
235	1122	66
236	1127	61
237	1131	57
238	1135	52
239	1141	47
240	1144	42
241	1149	37
242	1152	33
243	1157	28
244	1162	23
245	1166	18
246	1171	14
247	1176	9
248	1180	4
249	1185	0
