iter	Passed	Remaining
0	159	51602
1	331	53580
2	513	55128
3	682	54753
4	856	54828
5	1052	55948
6	1231	55924
7	1419	56249
8	1600	56190
9	1791	56438
10	1968	56186
11	2158	56301
12	2346	56317
13	2532	56248
14	2713	56086
15	2901	56036
16	3087	55932
17	3269	55757
18	3530	56863
19	3805	58036
20	4083	59115
21	4364	60105
22	4648	61043
23	4918	61683
24	5214	62578
25	5505	63311
26	5755	63525
27	6006	63716
28	6264	63937
29	6507	63991
30	6776	64266
31	7047	64526
32	7350	65044
33	7642	65412
34	7919	65618
35	8178	65655
36	8423	65563
37	8669	65480
38	8946	65604
39	9270	66052
40	9575	66330
41	9869	66499
42	10160	66634
43	10457	66784
44	10747	66870
45	11011	66789
46	11288	66772
47	11599	66937
48	11899	67023
49	12199	67098
50	12485	67079
51	12712	66740
52	12966	66545
53	13232	66405
54	13504	66294
55	13789	66239
56	14063	66125
57	14340	66015
58	14629	65958
59	14903	65824
60	15170	65657
61	15450	65538
62	15735	65440
63	16022	65343
64	16281	65124
65	16561	64992
66	16824	64788
67	17071	64520
68	17356	64394
69	17634	64241
70	17939	64176
71	18253	64139
72	18482	63802
73	18721	63502
74	19020	63400
75	19339	63362
76	19612	63166
77	19882	62960
78	20188	62864
79	20499	62779
80	20796	62645
81	21104	62542
82	21399	62394
83	21682	62208
84	21995	62105
85	22290	61946
86	22581	61775
87	22885	61633
88	23197	61511
89	23476	61299
90	23799	61198
91	24170	61215
92	24644	61478
93	24955	61327
94	25287	61221
95	25615	61102
96	25965	61032
97	26294	60906
98	26628	60789
99	26932	60597
100	27219	60368
101	27517	60161
102	27818	59957
103	28143	59805
104	28480	59672
105	28744	59386
106	29001	59087
107	29198	58668
108	29380	58221
109	29590	57836
110	29827	57505
111	30077	57200
112	30357	56954
113	30639	56709
114	30946	56511
115	31253	56310
116	31543	56076
117	31857	55885
118	32140	55638
119	32453	55440
120	32730	55182
121	33014	54933
122	33300	54689
123	33593	54454
124	33859	54174
125	34155	53943
126	34466	53735
127	34741	53469
128	35026	53218
129	35341	53012
130	35641	52782
131	35937	52545
132	36137	52167
133	36406	51893
134	36765	51743
135	37065	51510
136	37291	51173
137	37500	50815
138	37689	50433
139	37870	50043
140	38062	49670
141	38256	49301
142	38439	48922
143	38631	48558
144	38814	48183
145	38998	47813
146	39187	47451
147	39400	47120
148	39628	46810
149	39852	46495
150	40107	46216
151	40351	45926
152	40626	45672
153	40877	45389
154	41123	45103
155	41369	44816
156	41601	44516
157	41839	44222
158	42057	43908
159	42300	43622
160	42583	43377
161	42845	43109
162	43254	42989
163	43575	42778
164	43869	42540
165	44173	42310
166	44449	42054
167	44743	41814
168	45018	41555
169	45327	41327
170	45574	41043
171	45833	40770
172	46070	40478
173	46358	40230
174	46617	39957
175	46888	39695
176	47168	39440
177	47405	39149
178	47665	38877
179	47917	38600
180	48189	38338
181	48445	38063
182	48670	37765
183	48938	37501
184	49209	37239
185	49480	36977
186	49749	36713
187	49988	36427
188	50264	36169
189	50552	35918
190	50801	35641
191	51068	35375
192	51351	35121
193	51629	34863
194	51916	34611
195	52200	34356
196	52463	34088
197	52759	33840
198	53012	33565
199	53298	33311
200	53596	33064
201	53787	32751
202	53984	32443
203	54158	32123
204	54343	31810
205	54529	31499
206	54709	31186
207	54882	30871
208	55062	30560
209	55241	30251
210	55413	29939
211	55611	29642
212	55801	29341
213	55991	29042
214	56169	28738
215	56344	28433
216	56538	28139
217	56725	27842
218	56901	27541
219	57095	27250
220	57286	26958
221	57466	26662
222	57655	26371
223	57836	26077
224	58021	25787
225	58265	25523
226	58540	25273
227	58831	25029
228	59114	24781
229	59451	24556
230	59804	24336
231	60126	24102
232	60414	23854
233	60726	23615
234	61064	23386
235	61414	23160
236	61709	22913
237	62065	22687
238	62355	22437
239	62643	22186
240	62904	21925
241	63200	21676
242	63484	21422
243	63792	21177
244	64185	20958
245	64543	20727
246	64866	20484
247	65162	20231
248	65473	19983
249	65761	19728
250	66054	19474
251	66352	19221
252	66658	18970
253	66930	18709
254	67224	18453
255	67534	18202
256	67848	17952
257	68124	17691
258	68364	17421
259	68634	17158
260	68895	16893
261	69184	16636
262	69465	16375
263	69774	16122
264	70063	15863
265	70362	15606
266	70653	15347
267	70971	15094
268	71298	14842
269	71615	14588
270	71936	14334
271	72231	14074
272	72521	13813
273	72827	13555
274	73117	13294
275	73409	13032
276	73722	12774
277	74007	12512
278	74279	12246
279	74601	11989
280	74901	11728
281	75189	11465
282	75609	11221
283	76039	10977
284	76313	10710
285	76563	10440
286	76841	10174
287	77089	9903
288	77367	9637
289	77640	9370
290	77884	9099
291	78141	8831
292	78389	8561
293	78643	8292
294	78925	8026
295	79188	7758
296	79463	7491
297	79717	7222
298	79969	6953
299	80204	6683
300	80462	6415
301	80723	6147
302	80978	5879
303	81239	5611
304	81510	5344
305	81773	5077
306	82071	4811
307	82448	4550
308	82684	4281
309	82964	4014
310	83230	3746
311	83518	3479
312	83781	3212
313	84075	2945
314	84381	2678
315	84639	2410
316	84896	2142
317	85173	1874
318	85460	1607
319	85742	1339
320	85981	1071
321	86241	803
322	86533	535
323	86821	267
324	87091	0
